ID;DT_NOTIFIC;UMIDADE;TEMPERATURA;REGIAO
A127;29/11/2006;62;21,48;Ponta Grossa
A128;30/11/2006;56;20,61;Ponta Grossa
A129;01/12/2006;52;17,84;Ponta Grossa
A130;03/12/2006;49;21,37;Ponta Grossa
A131;04/12/2006;60;21,09;Ponta Grossa
A132;05/12/2006;57;21,49;Ponta Grossa
A133;06/12/2006;59;20,37;Ponta Grossa
A134;07/12/2006;37;19,74;Ponta Grossa
A135;08/12/2006;68;18,17;Ponta Grossa
A136;09/12/2006;64;19,20;Ponta Grossa
A137;10/12/2006;54;20,41;Ponta Grossa
A138;11/12/2006;54;19,87;Ponta Grossa
A139;12/12/2006;63;17,92;Ponta Grossa
A140;13/12/2006;61;19,85;Ponta Grossa
A141;14/12/2006;58;21,91;Ponta Grossa
A142;16/12/2006;37;23,82;Ponta Grossa
A143;17/12/2006;44;23,75;Ponta Grossa
A144;18/12/2006;35;24,36;Ponta Grossa
A145;19/12/2006;50;22,28;Ponta Grossa
A146;21/12/2006;70;20,75;Ponta Grossa
A147;22/12/2006;63;20,83;Ponta Grossa
A148;27/12/2006;43;22,00;Ponta Grossa
A149;28/12/2006;45;21,91;Ponta Grossa
A150;30/12/2006;58;20,13;Ponta Grossa
A151;31/12/2006;54;20,93;Ponta Grossa
A152;01/01/2007;71;19,88;Ponta Grossa
A153;02/01/2007;68;20,37;Ponta Grossa
A154;03/01/2007;61;21,82;Ponta Grossa
A155;05/01/2007;78;20,57;Ponta Grossa
A156;06/01/2007;65;22,02;Ponta Grossa
A157;07/01/2007;79;19,98;Ponta Grossa
A158;08/01/2007;75;19,18;Ponta Grossa
A159;09/01/2007;69;20,62;Ponta Grossa
A160;10/01/2007;51;22,80;Ponta Grossa
A161;11/01/2007;58;22,50;Ponta Grossa
A162;12/01/2007;68;21,79;Ponta Grossa
A163;13/01/2007;55;22,29;Ponta Grossa
A164;14/01/2007;34;22,45;Ponta Grossa
A165;15/01/2007;40;21,42;Ponta Grossa
A166;16/01/2007;68;19,54;Ponta Grossa
A167;17/01/2007;60;19,28;Ponta Grossa
A168;19/01/2007;48;23,19;Ponta Grossa
A169;20/01/2007;56;21,37;Ponta Grossa
A170;21/01/2007;53;20,80;Ponta Grossa
A171;22/01/2007;69;19,01;Ponta Grossa
A172;23/01/2007;57;19,12;Ponta Grossa
A173;24/01/2007;47;20,90;Ponta Grossa
A174;25/01/2007;51;22,11;Ponta Grossa
A175;28/01/2007;66;21,76;Ponta Grossa
A176;29/01/2007;64;21,67;Ponta Grossa
A177;30/01/2007;69;20,79;Ponta Grossa
A178;31/01/2007;62;20,79;Ponta Grossa
A179;01/02/2007;55;21,65;Ponta Grossa
A180;02/02/2007;61;21,44;Ponta Grossa
A181;04/02/2007;46;21,15;Ponta Grossa
A182;05/02/2007;49;21,67;Ponta Grossa
A183;06/02/2007;51;22,67;Ponta Grossa
A184;07/02/2007;61;21,97;Ponta Grossa
A185;08/02/2007;71;20,34;Ponta Grossa
A186;09/02/2007;72;20,75;Ponta Grossa
